method,dataset,n_classes,n_shot,seed,alpha,beta,n_test,accuracy,ece,signed_gap,model_name,gpu,config_hash
zero_shot,imagenet_r,200,16,42,,,24800,77.8105,3.8871,-3.8696,ViT-B-16-quickgelu,cpu,9d785e1e8c
zero_shot,imagenet_r,200,16,43,,,24800,77.6371,3.773,-3.7715,ViT-B-16-quickgelu,cpu,c18500e189
zero_shot,imagenet_r,200,16,44,,,24800,77.8185,3.8002,-3.7709,ViT-B-16-quickgelu,cpu,16a95db687
zero_shot,sketch_200,200,16,42,,,4952,82.1082,2.9883,-2.8699,ViT-B-16-quickgelu,cpu,3c7c6264d6
zero_shot,sketch_200,200,16,43,,,4952,82.3506,2.9423,-2.6781,ViT-B-16-quickgelu,cpu,7c9ab117ef
zero_shot,sketch_200,200,16,44,,,4952,81.7851,2.5007,-2.2218,ViT-B-16-quickgelu,cpu,040205a227
zero_shot,sketch_1000,1000,16,42,,,24889,48.3748,4.4756,4.4756,ViT-B-16-quickgelu,cpu,2372fee7d2
zero_shot,sketch_1000,1000,16,43,,,24889,48.4029,4.5853,4.5853,ViT-B-16-quickgelu,cpu,7cff013022
zero_shot,sketch_1000,1000,16,44,,,24889,48.1056,4.685,4.685,ViT-B-16-quickgelu,cpu,7ee16c5deb
zero_shot,imagenet_v2,1000,4,42,,,6000,62.0333,3.0014,1.9707,ViT-B-16-quickgelu,cpu,d6e89dc6e9
zero_shot,imagenet_v2,1000,4,43,,,6000,62.15,3.5081,1.9427,ViT-B-16-quickgelu,cpu,5f04e77944
zero_shot,imagenet_v2,1000,4,44,,,6000,62.0,2.3246,2.0076,ViT-B-16-quickgelu,cpu,7567d10c23
zero_shot,pacs_photo,7,16,42,,,1488,99.9328,1.244,-1.244,ViT-B-16-quickgelu,cpu,e9f61b2d60
zero_shot,pacs_photo,7,16,43,,,1488,99.9328,1.2338,-1.2338,ViT-B-16-quickgelu,cpu,5fcdbcd273
zero_shot,pacs_photo,7,16,44,,,1488,99.9328,1.1862,-1.1862,ViT-B-16-quickgelu,cpu,bc1ddf8475
zero_shot,pacs_art,7,16,42,,,1866,97.5884,2.6929,-2.4377,ViT-B-16-quickgelu,cpu,df1a75d9e1
zero_shot,pacs_art,7,16,43,,,1866,97.4812,2.6279,-2.3144,ViT-B-16-quickgelu,cpu,b5759cf5b3
zero_shot,pacs_art,7,16,44,,,1866,97.5348,2.5358,-2.3132,ViT-B-16-quickgelu,cpu,205c606767
zero_shot,pacs_cartoon,7,16,42,,,2162,99.2599,2.1267,-2.1267,ViT-B-16-quickgelu,cpu,2efdf547e6
zero_shot,pacs_cartoon,7,16,43,,,2162,99.2137,2.0729,-2.0729,ViT-B-16-quickgelu,cpu,b8972985dd
zero_shot,pacs_cartoon,7,16,44,,,2162,99.2599,2.1421,-2.1422,ViT-B-16-quickgelu,cpu,ccee214485
zero_shot,pacs_sketch,7,16,42,,,3747,90.0721,3.2537,3.1914,ViT-B-16-quickgelu,cpu,a2740f3e25
zero_shot,pacs_sketch,7,16,43,,,3747,90.0454,3.1373,3.135,ViT-B-16-quickgelu,cpu,998074f66d
zero_shot,pacs_sketch,7,16,44,,,3747,89.9119,3.1793,3.1793,ViT-B-16-quickgelu,cpu,b7f288167e
